47,11,45,75,61,95,97,83,60,13,56,34,23,72,20,26
42,97,25,87,8,61,18,94,12,99,82,38,94,54,41,32
39,15,97,9,47,97,76,51,43,4,74,63,64,61,6,77
89,41,72,82,82,74,76,93,22,74,59,48,74,11,41,45
88,81,38,20,41,25,32,86,41,46,78,43,57,86,90,89
37,17,67,67,71,33,59,76,7,86,85,93,58,72,17,54
27,68,50,78,85,53,63,43,61,97,3,45,92,12,76,95
13,93,89,89,89,82,12,99,69,20,44,76,99,45,61,2
51,66,44,74,36,95,19,26,69,52,90,11,40,48,54,20
67,55,62,31,70,30,42,52,78,26,47,54,44,73,15,38
27,69,42,72,32,8,35,66,76,17,31,29,26,8,41,24
10,37,74,6,24,90,36,59,78,85,73,78,95,95,29,82
84,3,40,43,91,60,30,85,49,89,70,2,63,10,34,64
60,91,28,84,67,80,90,70,76,5,38,72,93,65,95,23
4,69,94,66,20,81,32,42,43,40,62,72,38,30,92,67
3,89,39,77,8,75,96,52,11,69,67,1,9,18,21,88
