59,73,33,9,41,25,61,16,24,37,72,22,76,92,14,9
0,50,94,54,89,9,98,92,11,89,99,82,22,10,21,31
21,23,11,68,36,82,79,48,85,90,96,7,8,89,11,76
75,77,8,63,38,10,17,47,56,92,48,64,45,65,39,74
4,66,39,4,45,47,74,29,1,8,4,74,86,85,53,59
94,64,6,82,88,83,36,94,38,4,68,94,19,68,87,43
74,87,56,71,1,60,81,89,32,97,51,63,54,92,7,91
11,36,53,86,47,33,42,78,44,89,22,31,82,47,41,88
17,46,73,41,77,32,9,86,56,26,6,42,56,29,51,27
85,8,50,79,85,70,90,73,15,28,35,1,1,8,90,10
50,60,99,48,35,84,63,46,77,9,26,73,48,17,61,4
91,5,68,13,43,98,4,99,48,17,85,42,60,43,92,27
85,88,67,45,97,21,98,32,27,13,78,97,65,7,40,0
60,5,83,79,31,6,25,14,5,33,37,42,60,87,72,14
79,24,16,59,87,50,60,74,16,11,41,52,24,47,72,51
38,12,51,30,41,74,2,1,41,89,72,76,61,17,6,9
