42,78,31,50,37,7,7,45,92,25,17,24,18,20,66,9,76,80,37,81,98,46,66,91,88,72,23,54,93,89,74,29,24,96,49,99,36,37,68,0,10,21,96,57,96,97,13,16,49,42,52,33,9,83,44,97,23,49,25,69,8,21,10,21,55,37,98,64,11,24,40,49,45,72,92,44,40,12,48,85,16,15,54,33,99,53,64,27,30,57,62,41,16,49,35,41,81,98,14,97,89,75,81,90,43,54,83,47,45,53,94,76,10,44,85,9,33,12,17,61,19,64,95,44,92,92,75,14
72,76,74,83,33,25,5,18,58,19,24,77,58,45,34,53,0,98,76,12,96,30,42,51,78,19,34,11,58,69,16,65,36,8,78,9,23,96,92,98,14,94,95,45,31,92,42,92,90,8,70,51,90,43,99,80,59,29,51,97,23,85,14,25,4,79,26,26,50,56,52,92,10,48,99,30,79,2,30,85,71,19,51,80,43,80,67,62,91,15,44,12,40,16,89,12,82,23,91,58,10,71,62,26,80,41,48,18,61,5,71,78,48,5,5,6,50,89,90,20,30,61,29,71,89,58,34,59
98,63,38,94,4,29,32,89,40,99,6,43,2,99,21,14,21,84,32,67,53,65,23,60,70,70,31,19,26,5,86,13,97,19,72,59,83,70,29,19,36,17,54,77,97,49,81,52,18,75,42,2,64,90,68,12,25,87,57,56,98,64,81,70,20,65,88,65,35,99,1,22,40,61,55,56,78,2,8,61,66,84,13,95,44,18,93,30,34,26,5,90,82,88,1,78,65,86,61,97,19,23,60,26,87,41,31,97,72,90,54,92,3,24,99,8,32,71,44,52,72,91,55,32,26,43,70,39
59,54,10,24,86,49,68,76,41,19,5,60,58,68,60,78,43,40,71,17,53,21,52,91,4,70,25,45,30,94,73,59,13,91,2,38,98,18,18,96,80,45,74,59,51,82,92,25,19,8,53,55,11,99,69,9,96,19,29,9,96,39,26,76,87,27,74,9,84,59,92,15,41,10,34,87,6,20,4,19,47,38,88,63,68,60,70,73,97,31,92,30,57,35,56,88,82,21,7,65,20,97,8,47,83,23,49,92,75,94,55,85,72,7,11,12,91,73,4,1,34,58,96,69,9,73,21,6
12,93,56,64,46,5,15,78,36,47,65,55,6,80,84,18,69,84,36,59,74,38,56,92,2,6,79,1,0,4,88,86,43,54,57,25,54,50,12,64,51,36,16,89,43,33,57,26,79,40,29,9,5,58,18,59,86,31,25,56,25,7,34,24,28,29,27,98,75,98,93,97,35,89,96,46,91,43,86,37,36,97,14,43,54,19,71,54,0,19,11,57,66,13,80,40,86,2,88,27,9,0,28,47,29,4,18,57,46,34,55,67,16,4,20,94,93,13,4,10,16,77,43,98,90,7,59,93
59,63,25,59,12,31,57,17,29,68,62,64,68,94,76,36,95,24,87,7,81,98,14,88,25,56,89,11,11,43,2,15,60,72,60,29,14,13,92,41,6,23,19,36,58,59,94,74,24,99,25,94,90,51,41,10,10,79,32,4,43,0,21,30,8,10,85,21,99,7,6,14,7,81,94,1,62,13,5,93,72,1,40,80,31,63,4,32,23,86,75,68,56,84,52,64,6,73,40,65,5,66,23,75,33,30,5,35,83,12,49,72,91,15,63,44,44,92,43,60,3,2,88,72,51,62,2,91
65,9,34,63,31,32,5,29,43,1,31,99,47,80,3,56,3,28,22,1,18,47,16,13,27,36,57,97,3,14,4,9,71,19,58,63,51,36,2,59,80,45,78,27,9,0,21,49,20,97,3,56,97,44,40,46,69,80,33,27,72,53,92,73,86,82,79,70,29,62,95,3,65,52,38,96,57,69,63,11,14,21,90,54,73,32,81,81,57,55,3,69,57,17,65,52,60,55,30,3,25,27,20,93,47,91,94,60,66,3,38,81,33,32,75,17,96,81,36,69,98,76,66,53,22,7,40,18
97,47,47,55,34,58,43,53,68,32,38,26,76,88,86,67,44,19,78,56,40,37,86,67,15,63,5,74,41,49,4,36,13,17,74,44,86,62,11,51,58,17,61,3,4,97,78,92,1,88,68,5,69,27,25,42,95,19,55,3,76,76,58,9,28,39,99,1,71,71,29,1,3,11,9,84,51,48,75,29,44,74,85,93,5,38,87,79,26,63,27,56,73,41,63,39,16,60,45,90,84,87,55,3,12,48,46,85,96,19,26,80,27,38,76,54,86,88,73,57,86,70,29,69,64,23,22,6
48,59,92,15,66,50,65,65,87,55,53,75,11,94,67,47,63,20,6,78,31,87,9,29,60,42,63,42,11,91,63,27,66,76,18,28,88,58,98,96,84,30,35,89,49,47,68,88,72,12,38,33,53,25,29,77,5,85,99,3,83,74,18,47,67,39,13,94,34,61,68,32,31,67,44,63,34,20,22,15,92,88,85,63,47,9,97,83,89,92,97,37,67,83,24,77,47,29,19,26,61,41,92,97,41,36,73,73,74,32,57,75,2,60,85,79,64,8,83,86,27,29,65,1,14,37,29,65
34,16,25,82,76,46,16,7,43,24,59,28,41,94,55,87,16,25,21,13,40,21,16,25,2,19,48,46,43,96,29,91,32,6,38,17,45,99,71,83,25,25,0,7,46,5,7,71,94,78,11,34,0,63,37,17,0,19,91,94,50,41,48,63,6,7,16,71,71,15,99,28,80,4,61,62,97,12,98,44,68,82,38,20,39,46,51,98,20,99,95,92,81,62,60,54,46,83,23,76,34,39,26,8,91,86,72,20,23,50,89,42,91,82,6,90,75,5,73,47,26,84,13,51,61,4,51,43
6,88,18,12,5,29,53,20,6,73,91,2,14,82,61,42,39,7,73,80,95,39,79,67,78,5,9,30,92,53,3,5,0,38,0,84,46,85,71,46,50,93,61,29,51,80,73,5,74,85,81,38,52,14,50,42,0,63,94,10,53,92,25,18,89,11,0,52,41,27,82,3,94,62,57,52,91,55,58,4,90,56,44,49,23,14,64,68,12,94,50,23,16,40,27,90,39,55,78,72,74,14,76,11,37,72,66,23,66,50,24,32,16,73,41,91,16,71,35,49,12,80,39,67,98,83,78,80
86,50,28,53,32,28,48,14,53,22,39,89,80,99,31,91,40,36,90,67,4,9,54,74,42,27,16,12,34,17,66,69,22,25,16,71,62,89,99,51,92,67,0,78,0,88,17,32,15,30,50,20,21,60,70,30,31,78,88,8,24,29,83,64,47,0,55,74,34,88,89,70,38,37,45,44,12,36,17,30,59,59,48,48,20,52,5,92,39,23,91,78,34,39,10,84,89,89,11,63,5,22,67,17,48,57,51,31,64,11,58,0,81,89,87,44,68,78,66,80,26,6,42,85,85,84,46,70
61,65,74,30,37,23,23,33,33,3,17,84,40,14,20,77,35,94,97,45,38,40,28,1,77,3,13,79,76,70,18,33,26,40,33,92,33,92,62,78,96,68,40,90,14,86,95,97,20,53,66,9,46,6,41,95,88,31,93,53,11,63,60,44,42,69,80,16,82,3,27,37,20,64,1,4,30,93,21,62,52,51,86,68,21,79,43,2,88,22,45,20,36,77,75,68,91,53,7,3,63,9,59,23,24,35,85,92,22,1,48,98,94,44,23,68,10,78,56,35,95,57,62,79,77,81,53,74
28,72,10,4,70,15,18,78,23,16,64,1,83,41,27,58,17,17,59,13,77,64,2,39,43,1,12,59,76,1,39,99,63,6,53,42,19,78,50,64,66,17,74,13,36,65,76,38,90,53,27,26,53,21,91,34,35,0,13,80,21,26,40,35,59,23,96,97,3,37,81,82,69,46,20,8,88,68,1,79,34,27,24,49,34,58,54,98,26,48,38,32,62,67,85,88,79,74,29,27,60,69,40,79,78,23,9,5,54,78,96,7,97,28,29,18,39,83,17,77,86,63,41,59,18,79,62,25
83,98,94,82,57,47,85,18,44,60,47,57,62,57,89,76,22,78,66,69,4,55,71,13,51,8,84,20,86,93,36,36,66,73,32,33,7,84,91,91,12,54,79,14,69,6,18,24,6,9,23,24,17,20,93,31,45,61,70,61,74,54,82,97,31,47,56,8,68,75,39,79,19,78,84,43,28,15,27,10,47,53,56,73,16,56,83,44,38,79,73,92,61,62,60,76,47,85,82,51,1,18,17,52,11,48,68,60,58,35,6,47,50,35,22,58,81,21,32,14,78,59,10,55,30,48,22,27
32,12,27,98,46,93,64,87,44,94,22,67,25,56,99,39,79,35,3,87,87,27,75,80,33,40,50,17,46,33,1,30,85,82,76,1,50,12,98,72,43,51,29,66,5,63,73,5,68,37,46,99,50,64,72,85,2,46,94,24,47,32,51,72,68,71,15,40,38,65,95,91,30,3,65,94,57,21,96,86,75,29,20,69,21,73,26,85,67,33,28,56,20,73,95,4,58,62,65,63,72,86,17,65,65,49,7,82,19,73,70,37,31,61,36,98,80,16,66,21,7,75,96,85,69,51,66,74
42,67,4,12,41,17,2,15,40,46,5,80,56,51,53,41,84,66,97,43,31,37,21,89,99,27,56,78,79,48,18,20,77,79,66,15,68,99,88,7,13,91,55,38,65,21,27,86,72,3,70,35,17,7,27,45,62,10,45,24,64,7,23,75,62,9,85,97,35,68,56,94,76,93,66,80,15,62,50,15,46,20,19,69,18,14,64,80,62,31,35,41,42,70,12,37,97,99,12,90,5,5,7,99,36,1,67,73,54,29,35,29,46,3,19,47,15,4,35,4,14,10,93,71,47,51,77,39
